Gene	sgRNA	HL60|beta	HL60|z	HL60|p-value	HL60|fdr	HL60|wald-p-value	HL60|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
TMEM26	10	0.08917	0.43166	0.46	0.87571	0.66599	0.89155	0.36505	1.7734	0.014	0.12281	0.076164	0.22684
TMEM39B	10	0.040416	0.40515	0.681	0.9478	0.68536	0.8972	0.16345	1.6394	0.233	0.53452	0.10114	0.27187
TMEM41A	10	-0.49997	-3.8069	0.01	0.18519	0.0001407	0.020099	-0.019586	-0.14937	0.881	0.95038	0.88126	0.93553
TMEM48	10	-0.58941	-3.2756	0.001	0.033333	0.0010542	0.04792	-0.10909	-0.60723	0.762	0.88915	0.5437	0.70799
TMEM56	10	-0.1033	-0.88889	0.678	0.9478	0.37406	0.73926	0.12814	1.1031	0.34	0.63433	0.27	0.47032
TMEM86A	10	0.24917	2.3722	0.086	0.5375	0.01768	0.21639	0.14928	1.4211	0.278	0.57676	0.15528	0.34127
TMEM87A	10	0.0054985	0.050046	0.841	0.94921	0.96009	0.98707	0.093634	0.85244	0.434	0.6944	0.39397	0.58889
TMEM8A	10	-0.042138	-0.39859	0.95	0.98351	0.6902	0.89793	-0.13386	-1.2661	0.661	0.84097	0.20546	0.40605
TMF1	10	-0.12123	-1.12	0.597	0.9375	0.26269	0.62996	0.2033	1.8789	0.152	0.42817	0.060262	0.19253
TMPO	10	0.21609	1.457	0.133	0.59912	0.14512	0.49003	0.21486	1.4488	0.141	0.41964	0.1474	0.33349
TNFAIP1	10	0.099928	0.69825	0.424	0.852	0.48502	0.79809	0.028325	0.19793	0.689	0.86341	0.8431	0.91697
TNFRSF1A	10	-0.064901	-0.5883	0.846	0.94949	0.55633	0.83647	-0.050325	-0.45622	0.995	0.99699	0.64823	0.781
TNPO1	10	-0.21694	-1.1105	0.297	0.7659	0.26678	0.6367	-0.59833	-3.0602	0.016	0.12598	0.0022119	0.02142
TOB2	10	-0.017063	-0.15636	0.937	0.98115	0.87575	0.96695	0.13933	1.2772	0.306	0.60714	0.20154	0.40068
TOR1A	10	0.085467	0.71051	0.478	0.88321	0.47739	0.79809	0.090236	0.75019	0.441	0.69778	0.45314	0.63644
TOX3	10	0.10397	0.9535	0.405	0.82992	0.34034	0.70318	-0.012597	-0.11553	0.849	0.93502	0.90803	0.95481
TP53INP2	10	0.10313	0.79258	0.405	0.82992	0.42803	0.77667	-0.13611	-1.0452	0.649	0.83504	0.29593	0.49987
TP53RK	10	-0.3624	-2.7104	0.064	0.49612	0.006721	0.14002	-0.70792	-5.2926	0.007	0.088608	1.2061e-07	5.2439e-06
TP53	10	0.065707	0.39695	0.571	0.92846	0.69141	0.89793	0.54444	3.2916	0.002	0.034483	0.00099614	0.010947
TRA2A	10	-0.066962	-0.70104	0.831	0.94921	0.48328	0.79809	0.1192	1.2484	0.36	0.64632	0.21187	0.41382
TRAF6	10	0.10212	0.75122	0.408	0.83265	0.45252	0.79112	0.11025	0.81119	0.382	0.66435	0.41725	0.60842
TRIM16	10	-0.22041	-1.7936	0.29	0.76562	0.072881	0.37765	0.019493	0.15881	0.716	0.86826	0.87382	0.9332
TRIM23	10	-0.018934	-0.11395	0.947	0.98351	0.90928	0.97457	-0.032079	-0.19319	0.931	0.96377	0.84681	0.91697
TRIP11	10	0.039581	0.31056	0.687	0.9478	0.75613	0.92338	-0.19417	-1.5231	0.468	0.71277	0.12773	0.30485
TRO	10	0.072766	0.62309	0.534	0.90051	0.53322	0.82355	0.13424	1.1499	0.323	0.61742	0.2502	0.45484
TRPM7	10	-0.025447	-0.24368	0.967	0.98675	0.80748	0.94429	-0.14985	-1.4349	0.609	0.81092	0.15131	0.3385
TSC2	10	-0.10304	-1.3645	0.678	0.9478	0.17241	0.53239	-0.020719	-0.27441	0.886	0.95075	0.78377	0.88064
TSEN15	10	0.2969	2.0975	0.046	0.41071	0.035952	0.27515	0.13631	0.96259	0.316	0.61598	0.33575	0.53379
TSGA10	10	0.084952	0.71246	0.483	0.88321	0.47618	0.79809	0.034207	0.28693	0.653	0.83504	0.77416	0.87515
TSHZ3	10	-0.1031	-0.88966	0.678	0.9478	0.37365	0.73926	-0.20493	-1.7683	0.435	0.69489	0.077019	0.22778
TSNAX	10	-0.0054536	-0.065338	0.887	0.96638	0.9479	0.98707	0.11262	1.3495	0.376	0.65849	0.17717	0.36804
TSPYL1	10	0.060606	0.6235	0.6	0.9375	0.53295	0.82355	0.061688	0.63465	0.53	0.75499	0.52566	0.69352
TSSK6	10	0.035321	0.5086	0.707	0.94921	0.61103	0.85728	-0.17338	-2.4964	0.536	0.75706	0.012545	0.070376
TTF2	10	0.21541	1.317	0.134	0.59912	0.18784	0.54769	-0.046893	-0.28649	0.994	0.99699	0.77451	0.87515
TTK	10	-0.014836	-0.098388	0.932	0.98115	0.92162	0.97863	-0.079355	-0.52627	0.874	0.95	0.5987	0.74465
TUBB	10	-0.75598	-3.1711	0	0	0.0015186	0.063276	-1.6167	-6.7743	0	0	1.2497e-11	2.4994e-09
TUBGCP6	10	-0.18039	-1.7628	0.386	0.81953	0.077937	0.39377	-0.28876	-2.8218	0.232	0.53452	0.0047761	0.034862
TXLNG	10	0.2694	1.799	0.07	0.5035	0.072019	0.37706	0.14423	0.96297	0.299	0.60282	0.33556	0.53379
TYK2	10	0.2047	1.6516	0.141	0.61039	0.098621	0.43432	0.35246	2.844	0.018	0.13139	0.0044546	0.034005
UAP1	10	0.067653	0.50748	0.556	0.91901	0.61182	0.85728	0.28013	2.103	0.059	0.2757	0.035463	0.14242
UBA2	10	-0.072982	-0.52413	0.813	0.94921	0.60019	0.85536	-0.57092	-4.0973	0.024	0.16783	4.1793e-05	0.00087069
UBA3	10	-0.31614	-2.1391	0.104	0.57459	0.032426	0.26767	-0.49328	-3.3374	0.046	0.24084	0.00084552	0.0095002
UBD	10	0.12239	1.3955	0.339	0.79128	0.16288	0.5122	0.069574	0.79334	0.512	0.74419	0.42758	0.61522
UBE2W	10	-0.020705	-0.20106	0.954	0.98351	0.84065	0.95405	-0.01502	-0.14588	0.854	0.93559	0.88401	0.93645
UBR4	10	-0.80554	-3.5869	0	0	0.00033466	0.033466	-0.90949	-4.0495	0.002	0.034483	5.132e-05	0.00098692
UBTF	10	-0.44584	-2.1379	0.024	0.30769	0.032522	0.26767	-0.7716	-3.6942	0.004	0.056338	0.00022062	0.0031073
UFD1L	10	-0.13024	-0.80095	0.558	0.92079	0.42316	0.77667	-0.3778	-2.3205	0.12	0.3871	0.020315	0.10057
UFL1	10	0.015371	0.098078	0.801	0.94921	0.92187	0.97863	-0.3147	-2.0055	0.185	0.47927	0.044909	0.16213
UHRF2	10	0.093735	0.79301	0.446	0.86654	0.42777	0.77667	0.29484	2.495	0.046	0.24084	0.012597	0.070376
UIMC1	10	0.0070902	0.058786	0.837	0.94921	0.95312	0.98707	0.060593	0.50269	0.535	0.75706	0.61518	0.75114
USF1	10	0.16196	1.1585	0.231	0.71472	0.24665	0.61722	0.16788	1.2009	0.221	0.5237	0.22978	0.43227
USO1	10	-0.14588	-0.51392	0.502	0.89007	0.60731	0.85536	-0.31523	-1.1096	0.184	0.47917	0.26719	0.47006
USP28	10	0.17019	1.4836	0.21	0.67742	0.13792	0.47723	0.29009	2.529	0.051	0.25616	0.011438	0.067283
USP33	10	-0.037392	-0.55853	0.973	0.98682	0.57648	0.84528	0.071526	1.0689	0.506	0.73869	0.2851	0.48735
UTP20	10	-0.024393	-0.14528	0.964	0.98669	0.88449	0.97197	-0.11887	-0.70795	0.726	0.86842	0.47897	0.66157
UTRN	10	0.26184	1.7086	0.072	0.5035	0.087529	0.41483	0.12345	0.80543	0.352	0.6413	0.42057	0.60864
VEZT	10	0.019046	0.1166	0.788	0.94921	0.90718	0.97431	-0.22172	-1.3568	0.385	0.66437	0.17484	0.36578
VHLL	10	-0.20353	-1.5073	0.322	0.78417	0.13174	0.46888	-0.18426	-1.365	0.498	0.73235	0.17225	0.36111
VPRBP	10	-0.11121	-0.66833	0.644	0.94428	0.50392	0.80002	-0.63479	-3.8056	0.011	0.11504	0.00014145	0.0021763
WDR19	10	0.055596	0.28585	0.621	0.94428	0.77499	0.92968	0.13866	0.71326	0.31	0.61386	0.47569	0.65976
WDR20	10	-0.3019	-1.2424	0.129	0.59912	0.2141	0.58818	0.12437	0.51446	0.349	0.6413	0.60693	0.74897
WDR37	10	-0.10033	-0.7845	0.69	0.9478	0.43275	0.77667	-0.15695	-1.2273	0.581	0.78755	0.21972	0.4229
WDR43	10	-0.41765	-2.1451	0.034	0.35417	0.031948	0.26767	-1.2741	-6.5343	0	0	6.3905e-11	1.0651e-08
WDR47	10	-0.15819	-1.1221	0.456	0.87571	0.2618	0.62996	-0.19627	-1.3928	0.461	0.70706	0.16369	0.35278
WDR48	10	-0.14095	-1.0478	0.524	0.89608	0.29474	0.65395	-0.059792	-0.44498	0.956	0.97467	0.65634	0.78839
WDR59	10	-0.20833	-1.1708	0.312	0.78195	0.24166	0.61413	-0.37279	-2.0942	0.123	0.39423	0.036241	0.14426
WDR73	10	-0.19043	-1.6346	0.356	0.80361	0.10214	0.43786	-0.22636	-1.9432	0.369	0.65079	0.051994	0.17625
WDR83	10	-0.19462	-1.6105	0.345	0.79128	0.10728	0.44266	-0.30492	-2.523	0.202	0.50124	0.011636	0.068046
WDR87	10	0.025651	0.13707	0.753	0.94921	0.89097	0.97431	0.16642	0.89114	0.226	0.52927	0.37286	0.56838
WDR90	10	0.24491	2.2827	0.092	0.55422	0.022446	0.2314	-0.034906	-0.32528	0.937	0.96898	0.74497	0.86229
WDYHV1	10	-0.082518	-0.51416	0.765	0.94921	0.60714	0.85536	0.055478	0.34577	0.555	0.77514	0.72952	0.84828
WIPI2	10	0.13371	1.5128	0.304	0.77157	0.13033	0.46888	0.16162	1.8286	0.239	0.53452	0.067466	0.20759
WNT9A	10	0.20291	1.3356	0.145	0.61966	0.18169	0.53915	0.4264	2.8081	0.007	0.088608	0.0049829	0.036108
WTIP	10	0.13037	0.55213	0.314	0.78417	0.58086	0.84755	0.34039	1.4427	0.022	0.15493	0.1491	0.3358
WWC1	10	0.14955	1.5348	0.257	0.73639	0.12484	0.46727	0.11657	1.1964	0.368	0.65018	0.23155	0.43361
XAB2	10	-0.29162	-2.4117	0.152	0.62041	0.015876	0.21639	-0.29569	-2.4456	0.223	0.52706	0.014461	0.078593
XPC	10	-0.14771	-1.4985	0.494	0.88909	0.13401	0.47355	-0.052382	-0.5316	0.986	0.99195	0.595	0.74283
XPO6	10	0.014181	0.10802	0.807	0.94921	0.91398	0.97769	-0.39911	-3.0363	0.107	0.36395	0.0023948	0.0221
XRCC6BP1	10	-0.31879	-2.1033	0.101	0.57459	0.035438	0.27515	-0.34269	-2.2617	0.145	0.42075	0.023718	0.1083
YES1	10	0.18599	1.2148	0.173	0.63603	0.22445	0.59065	0.24641	1.6096	0.09	0.33708	0.10748	0.27698
YY2	10	0.028192	0.25449	0.74	0.94921	0.79912	0.94026	0.18167	1.64	0.199	0.5	0.101	0.27187
ZAP70	10	0.10264	0.7253	0.405	0.82992	0.46827	0.79809	0.33405	2.362	0.026	0.17808	0.018179	0.093224
ZBED2	10	-0.44757	-2.4703	0.021	0.27273	0.013501	0.20321	-0.2078	-1.1477	0.428	0.6944	0.25107	0.45484
ZBTB1	10	0.13298	1.0512	0.308	0.77778	0.29318	0.65395	-0.039922	-0.31553	0.962	0.97467	0.75236	0.86522
ZBTB24	10	0.028097	0.22211	0.74	0.94921	0.82423	0.9463	-0.087223	-0.68939	0.842	0.93452	0.49058	0.67105
ZBTB3	10	-0.066639	-0.56458	0.833	0.94921	0.57236	0.84408	-0.029272	-0.24814	0.916	0.95616	0.80403	0.89596
ZBTB8A	10	-0.055536	-0.4767	0.885	0.96638	0.63357	0.87029	0.10776	0.92633	0.391	0.6661	0.35427	0.55145
ZC3H12B	10	0.037941	0.37907	0.696	0.94921	0.70464	0.90029	0.16056	1.6046	0.24	0.53452	0.10858	0.27698
ZC3H6	10	0.12689	0.98814	0.327	0.78417	0.32309	0.68161	0.017413	0.1356	0.725	0.86826	0.89214	0.94306
ZC3HAV1	10	0.26092	2.2044	0.074	0.51034	0.027497	0.24851	0.18303	1.5463	0.195	0.49118	0.12202	0.29816
ZCCHC18	10	0.055074	0.46292	0.623	0.94428	0.64342	0.87779	0.12779	1.0743	0.341	0.63501	0.28271	0.48492
ZDHHC13	10	0.076489	0.67724	0.518	0.8931	0.49825	0.80002	0.099381	0.88007	0.418	0.68301	0.37882	0.57174
ZDHHC20	10	-0.025868	-0.17803	0.968	0.98675	0.8587	0.96092	0.064831	0.44676	0.519	0.74499	0.65505	0.78827
ZDHHC22	10	-0.037825	-0.47073	0.973	0.98682	0.63784	0.87375	-0.078325	-0.97481	0.879	0.95027	0.32965	0.52895
ZDHHC3	10	0.050782	0.35804	0.639	0.94428	0.72031	0.90265	0.079747	0.56234	0.477	0.71729	0.57388	0.72933
ZDHHC7	10	-0.14441	-1.4848	0.505	0.89223	0.13761	0.47723	0.094712	0.97399	0.432	0.6944	0.33006	0.52895
ZDHHC8	10	-0.10378	-0.92109	0.678	0.9478	0.357	0.72414	-0.39283	-3.4846	0.108	0.36486	0.00049284	0.0062241
ZFAND1	10	-0.027735	-0.29097	0.98	0.9909	0.77108	0.92968	-0.15042	-1.578	0.606	0.808	0.11457	0.28508
ZFHX2	10	-0.16858	-1.305	0.423	0.852	0.19191	0.55625	-0.089354	-0.69185	0.835	0.93326	0.48903	0.66991
ZFP3	10	0.25298	1.1662	0.084	0.5375	0.24353	0.61497	0.21078	0.9717	0.146	0.42075	0.3312	0.52915
ZFP41	10	-0.13751	-1.0469	0.532	0.89865	0.29513	0.65395	-0.27381	-2.0844	0.262	0.55932	0.037124	0.14492
ZFP62	10	-0.086724	-0.76809	0.752	0.94921	0.44243	0.78307	0.21496	1.9045	0.14	0.41791	0.056848	0.18542
ZFP90	10	-0.054279	-0.50708	0.891	0.96638	0.6121	0.85728	0.086875	0.8119	0.45	0.70312	0.41685	0.60842
ZFP91	10	0.05404	0.36827	0.629	0.94428	0.71267	0.90029	-0.13585	-0.92539	0.653	0.83504	0.35476	0.55145
ZFPM1	10	0.23012	1.8946	0.112	0.58031	0.058149	0.33807	0.14994	1.2345	0.275	0.57411	0.21702	0.41896
ZFYVE1	10	-0.18232	-1.0402	0.38	0.81624	0.29827	0.65395	-0.094665	-0.54021	0.819	0.93251	0.58905	0.73793
ZFYVE26	10	-0.1001	-1.4513	0.69	0.9478	0.1467	0.49063	-0.083621	-1.2124	0.853	0.93559	0.22534	0.43087
ZIC1	10	0.14831	1.0884	0.263	0.74095	0.27643	0.64138	0.20371	1.4957	0.152	0.42817	0.13474	0.31555
ZIC3	10	0.046467	0.38413	0.659	0.94684	0.70088	0.89972	0.051505	0.42583	0.575	0.78755	0.67023	0.80075
ZKSCAN4	10	0.03524	0.21667	0.707	0.94921	0.82847	0.94682	0.024297	0.1495	0.699	0.86543	0.88116	0.93553
ZKSCAN5	10	-0.32264	-2.658	0.099	0.57459	0.0078606	0.14831	-0.04375	-0.36067	0.982	0.99092	0.71835	0.83919
ZMYM1	10	0.08908	0.67126	0.462	0.87571	0.50205	0.80002	0.37808	2.8501	0.013	0.11504	0.0043701	0.033854
ZMYND15	10	-0.18432	-1.462	0.375	0.81624	0.14374	0.48726	0.078919	0.62665	0.48	0.71964	0.53089	0.69762
ZNF101	10	-0.038222	-0.31834	0.971	0.98682	0.75023	0.92166	-0.077698	-0.64716	0.88	0.95032	0.51753	0.69096
ZNF134	10	-0.032344	-0.39759	0.997	0.999	0.69093	0.89793	0.16566	2.0366	0.228	0.53271	0.041692	0.15328
ZNF14	10	-0.11906	-1.2586	0.608	0.94281	0.20818	0.57518	0.089988	0.95161	0.441	0.69778	0.3413	0.53917
ZNF155	10	-0.099401	-0.66938	0.695	0.94921	0.50325	0.80002	0.079973	0.53912	0.476	0.71729	0.58981	0.73793
ZNF16	10	0.06537	0.58601	0.573	0.92892	0.55787	0.83647	-0.11227	-1.0064	0.755	0.88863	0.31424	0.51684
ZNF221	10	0.043427	0.34108	0.671	0.9478	0.73305	0.90882	0.39438	3.0982	0.012	0.11504	0.0019471	0.019278
ZNF239	10	0.32251	2.1224	0.026	0.325	0.0338	0.2704	0.043986	0.28936	0.604	0.80749	0.77231	0.87515
ZNF23	10	-0.14238	-1.3056	0.518	0.8931	0.1917	0.55625	0.052167	0.47867	0.571	0.78755	0.63217	0.7672
ZNF24	10	0.01321	0.098293	0.809	0.94921	0.9217	0.97863	0.1862	1.3864	0.187	0.48205	0.16563	0.35543
ZNF25	10	0.23935	1.9089	0.101	0.57459	0.056279	0.33432	0.29233	2.3315	0.048	0.24615	0.019728	0.09864
ZNF26	10	0.052501	0.25236	0.636	0.94428	0.80077	0.94026	0.064698	0.3111	0.52	0.74499	0.75572	0.86522
ZNF273	10	-0.16705	-1.627	0.431	0.85857	0.10374	0.43786	0.023888	0.23272	0.7	0.86543	0.81598	0.90363
ZNF280B	10	-0.11306	-0.79201	0.636	0.94428	0.42835	0.77667	0.083795	0.58767	0.459	0.70661	0.55675	0.71772
ZNF282	10	0.21566	1.3261	0.134	0.59912	0.18482	0.54376	0.33241	2.0446	0.027	0.17881	0.040898	0.15328
ZNF286A	10	0.20782	1.3982	0.139	0.60699	0.16204	0.51217	0.11992	0.80688	0.359	0.64568	0.41974	0.60864
ZNF28	10	0.12547	0.99185	0.333	0.78723	0.32127	0.68143	0.40764	3.2257	0.008	0.096386	0.0012567	0.013241
ZNF292	10	0.11662	0.83848	0.359	0.80493	0.40176	0.75947	0.28631	2.0608	0.052	0.25616	0.03932	0.15008
ZNF302	10	0.22134	1.9046	0.123	0.59524	0.056835	0.33432	0.062577	0.53834	0.528	0.75321	0.59034	0.73793
ZNF324	10	0.051083	0.31333	0.639	0.94428	0.75403	0.92338	0.23997	1.4728	0.101	0.35664	0.1408	0.32592
ZNF346	10	-0.16886	-1.2956	0.422	0.852	0.19512	0.56069	-0.28435	-2.1815	0.24	0.53452	0.02915	0.12619
ZNF354A	10	0.067738	0.48303	0.556	0.91901	0.62907	0.86888	0.34626	2.4695	0.018	0.13139	0.013532	0.07435
ZNF35	10	-0.11042	-0.62251	0.646	0.94583	0.53361	0.82355	0.24423	1.378	0.095	0.34545	0.16819	0.35634
ZNF367	10	-0.22199	-1.2265	0.285	0.76562	0.22003	0.58866	-0.40302	-2.2246	0.102	0.35664	0.026108	0.11655
ZNF382	10	0.16095	1.273	0.232	0.71472	0.203	0.57183	0.12611	0.99757	0.343	0.63586	0.31849	0.51956
ZNF397	10	0.088836	0.68433	0.464	0.87571	0.49376	0.80002	0.2099	1.6181	0.146	0.42075	0.10564	0.27698
ZNF404	10	0.082423	0.58343	0.495	0.88909	0.5596	0.83647	0.029477	0.2087	0.685	0.86289	0.83468	0.91222
ZNF418	10	0.12717	1.0272	0.327	0.78417	0.30432	0.66301	0.28602	2.3122	0.052	0.25616	0.020767	0.1018
ZNF419	10	0.12357	0.84353	0.336	0.78923	0.39893	0.75947	0.17371	1.1859	0.214	0.51905	0.23565	0.43801
ZNF41	10	-0.12205	-1.2032	0.594	0.9375	0.2289	0.59411	0.060258	0.59428	0.535	0.75706	0.55233	0.7136
ZNF436	10	-0.15173	-1.0426	0.479	0.88321	0.29711	0.65395	0.049191	0.33859	0.58	0.78755	0.73492	0.85357
ZNF440	10	-0.015944	-0.18247	0.935	0.98115	0.85522	0.96045	0.04478	0.5127	0.598	0.80054	0.60816	0.74897
ZNF443	10	0.063119	0.55129	0.582	0.93269	0.58143	0.84755	0.09986	0.8725	0.415	0.68033	0.38293	0.57498
ZNF451	10	-0.14671	-1.3487	0.497	0.88909	0.17743	0.53606	0.13546	1.2454	0.319	0.61657	0.21298	0.41392
ZNF467	10	0.075327	0.63905	0.523	0.89608	0.52279	0.81814	0.13397	1.1368	0.325	0.61742	0.25562	0.45914
ZNF483	10	0.22346	1.7711	0.12	0.59524	0.076547	0.39054	0.084457	0.66913	0.459	0.70661	0.50342	0.68246
ZNF488	10	0.0034198	0.030064	0.849	0.95179	0.97602	0.99066	0.095749	0.84189	0.43	0.6944	0.39985	0.59377
ZNF48	10	0.12798	0.87728	0.326	0.78417	0.38034	0.74474	0.01227	0.084101	0.748	0.88626	0.93298	0.96681
ZNF521	10	-0.25241	-1.6324	0.224	0.7	0.10259	0.43786	-0.065888	-0.42816	0.925	0.95855	0.66854	0.79999
ZNF532	10	0.040752	0.30083	0.681	0.9478	0.76354	0.92888	0.22807	1.6845	0.12	0.3871	0.092087	0.2558
ZNF558	10	0.12306	1.206	0.337	0.78923	0.22783	0.5937	0.043672	0.42799	0.605	0.80774	0.66866	0.79999
ZNF559	10	0.13867	1.1436	0.294	0.76562	0.25281	0.62422	0.18494	1.5256	0.188	0.48205	0.12712	0.3041
ZNF567	10	-0.13929	-1.2799	0.526	0.89608	0.20058	0.56983	0.12301	1.1307	0.353	0.6413	0.25819	0.46022
ZNF568	10	-0.080709	-0.42531	0.779	0.94921	0.67061	0.89382	0.15054	0.79378	0.274	0.57411	0.42732	0.61522
ZNF579	10	0.0019919	0.014747	0.857	0.95541	0.98823	1	0.029162	0.21602	0.686	0.86289	0.82897	0.90896
ZNF594	10	0.13626	1.0682	0.296	0.7659	0.28545	0.65395	0.24332	1.908	0.095	0.34545	0.056387	0.18542
ZNF596	10	-0.15638	-0.73313	0.462	0.87571	0.46348	0.79499	-0.4731	-2.2135	0.059	0.2757	0.026861	0.11885
ZNF613	10	0.040895	0.39112	0.68	0.9478	0.69571	0.89885	0.19833	1.897	0.162	0.44384	0.057823	0.18713
ZNF626	10	0.058047	0.46057	0.61	0.94281	0.64511	0.87794	0.14337	1.1377	0.3	0.60362	0.25525	0.45914
ZNF655	10	0.058509	0.4349	0.609	0.94281	0.66364	0.89086	0.024605	0.18296	0.698	0.86543	0.85483	0.92115
ZNF670	10	0.19685	1.2156	0.156	0.62598	0.22415	0.59065	0.3099	1.9146	0.039	0.22674	0.055549	0.18455
ZNF680	10	-0.14796	-1.1947	0.493	0.88909	0.23221	0.59645	-0.039645	-0.32021	0.962	0.97467	0.74881	0.863
ZNF684	10	-0.26642	-1.938	0.194	0.66438	0.052623	0.32174	-0.26135	-1.9024	0.287	0.58811	0.057124	0.18547
ZNF70	10	-0.068278	-0.16784	0.827	0.94921	0.86671	0.96195	-0.091938	-0.22609	0.826	0.93251	0.82113	0.90467
ZNF711	10	0.024471	0.23076	0.762	0.94921	0.8175	0.94449	0.25548	2.4099	0.081	0.32016	0.015958	0.085106
ZNF71	10	0.042678	0.50199	0.674	0.9478	0.61567	0.85988	0.066922	0.78721	0.516	0.74459	0.43116	0.61859
ZNF764	10	0.23881	1.9328	0.102	0.57459	0.05326	0.32279	0.18863	1.5267	0.182	0.47644	0.12683	0.3041
ZNF770	10	0.1687	1.6515	0.213	0.68269	0.098629	0.43432	-0.01937	-0.18962	0.878	0.95022	0.84961	0.91697
ZNF773	10	-0.053424	-0.33897	0.899	0.97192	0.73463	0.90919	0.17524	1.1134	0.211	0.51905	0.26553	0.46831
ZNF780B	10	0.15679	1.2842	0.24	0.72508	0.19908	0.56719	0.17393	1.4248	0.214	0.51905	0.15423	0.34032
ZNF800	10	0.0010314	0.0066268	0.862	0.95991	0.99471	1	0.45402	2.9227	0.004	0.056338	0.0034699	0.027759
ZNF808	10	0.084433	0.78494	0.484	0.88321	0.43249	0.77667	0.079153	0.73592	0.479	0.71922	0.46178	0.64585
ZNF81	10	0.032007	0.26443	0.721	0.94921	0.79145	0.93662	0.15659	1.2942	0.252	0.54902	0.19558	0.39408
ZNF845	10	0.044334	0.36313	0.669	0.9478	0.71651	0.90029	0.33506	2.7452	0.025	0.17361	0.006048	0.041711
ZSCAN12	10	0.12891	0.59228	0.32	0.78417	0.55366	0.83647	0.11172	0.51363	0.378	0.65969	0.60751	0.74897
ZSCAN20	10	0.15787	1.3242	0.238	0.7234	0.18542	0.54376	0.14988	1.2573	0.276	0.575	0.20863	0.40988
ZSCAN5B	10	-0.23802	-2.1134	0.251	0.73487	0.034568	0.27435	0.034446	0.30597	0.653	0.83504	0.75963	0.86715
ZW10	10	0.15065	0.87258	0.255	0.73487	0.38289	0.74474	0.14507	0.84045	0.296	0.60282	0.40066	0.59377
